word,percentage_known,Prevalence
clairsentient,0.26,-0.64
clairvoyance,0.98,1.909
clairvoyant,0.97,1.845
clairvoyantly,0.86,1.063
clam,0.98,2.025
clamant,0.33,-0.439
clambake,0.77,0.73
clamber,0.85,1.036
clamberer,0.62,0.31
clammed,0.92,1.369
clammily,0.66,0.408
clamminess,0.92,1.365
clamming,0.86,1.077
clammy,0.99,2.157
clamor,0.92,1.395
clamorer,0.7,0.525
clamorous,0.84,0.973
clamorously,0.8,0.833
clamorousness,0.64,0.366
clamp,1.0,2.431
clampdown,0.82,0.9209999999999999
clamper,0.82,0.912
clamshell,0.92,1.4069999999999998
clamworm,0.31,-0.5
clan,1.0,2.329
clandestine,0.94,1.5419999999999998
clandestinely,0.86,1.08
clandestineness,0.76,0.7
clang,0.93,1.421
clanger,0.76,0.6940000000000001
clangor,0.44,-0.162
clangorous,0.32,-0.465
clangorously,0.39,-0.271
clank,0.92,1.3969999999999998
clanking,0.96,1.661
clankingly,0.61,0.272
clannish,0.79,0.8059999999999999
clannishly,0.63,0.326
clannishness,0.66,0.42100000000000004
clanship,0.72,0.565
clansman,0.91,1.2890000000000001
clanswoman,0.86,1.046
clap,1.0,2.428
clapboard,0.84,0.961
clapped,0.99,2.2359999999999998
clapper,0.97,1.835
clapperboard,0.74,0.639
clapping,1.0,2.424
claptrap,0.79,0.797
claque,0.31,-0.502
claret,0.78,0.773
clarification,0.99,2.252
clarifier,0.94,1.554
clarify,0.99,2.323
clarinet,0.99,2.2230000000000003
clarinetist,0.84,0.988
clarion,0.73,0.615
clarithromycin,0.37,-0.326
clarity,1.0,2.3409999999999997
clarkia,0.05,-1.605
clash,0.99,2.158
clasher,0.83,0.9490000000000001
clasp,1.0,2.576
clasper,0.67,0.439
clasping,0.99,2.081
class,0.99,2.253
classable,0.78,0.754
classed,0.97,1.835
classer,0.44,-0.155
classes,0.98,2.051
classic,1.0,2.576
classical,1.0,2.576
classicalism,0.84,0.9640000000000001
classicalist,0.84,0.971
classicality,0.68,0.45799999999999996
classically,0.99,2.057
classicalness,0.58,0.20600000000000002
classicism,0.89,1.181
classicist,0.86,1.043
classicistic,0.46,-0.105
classicize,0.53,0.08
classics,1.0,2.425
classifiable,0.97,1.84
classification,1.0,2.576
classificatory,0.6,0.255
classified,0.99,2.228
classifier,0.97,1.7890000000000001
classify,0.99,2.088
classis,0.28,-0.586
classism,0.83,0.9259999999999999
classist,0.81,0.861
classless,0.99,2.063
classman,0.83,0.953
classmate,1.0,2.33
classroom,0.99,2.253
classwork,0.99,2.1390000000000002
classy,0.99,2.161
clatter,0.98,1.9240000000000002
clatterer,0.77,0.727
clatteringly,0.74,0.621
clattery,0.5,0.009000000000000001
claudicate,0.24,-0.703
claudication,0.29,-0.5489999999999999
clausal,0.69,0.5
clause,0.99,2.155
claustrophobia,0.99,2.059
claustrophobic,0.99,2.251
clave,0.66,0.401
claver,0.32,-0.47
clavichord,0.64,0.35100000000000003
clavichordist,0.55,0.114
clavicle,0.97,1.787
clavicorn,0.34,-0.395
clavier,0.64,0.355
claw,0.99,2.075
clawed,1.0,2.346
clawer,0.6,0.23800000000000002
clawless,0.93,1.4769999999999999
claxon,0.55,0.11699999999999999
clay,0.99,2.235
clayey,0.18,-0.91
clayish,0.62,0.298
claylike,0.83,0.925
claymore,0.71,0.546
claytonia,0.09,-1.2990000000000002
clayware,0.75,0.66
clean,0.99,2.2230000000000003
cleanable,0.95,1.64
cleaner,0.99,2.247
cleaning,1.0,2.4330000000000003
cleanliness,0.99,2.322
cleanly,0.99,2.178
cleanness,0.8,0.8140000000000001
cleanout,0.91,1.3330000000000002
cleansable,0.69,0.48200000000000004
cleanse,0.99,2.27
cleanser,0.99,2.201
cleansing,0.99,2.173
cleanup,0.94,1.535
clear,1.0,2.3480000000000003
clearable,0.9,1.2590000000000001
clearage,0.66,0.406
clearance,0.99,2.327
clearcut,0.95,1.5759999999999998
clearer,0.97,1.8519999999999999
clearheaded,0.98,1.962
clearheadedly,0.86,1.063
clearing,0.99,2.184
clearinghouse,0.86,1.068
clearly,1.0,2.439
clearness,0.93,1.456
clearway,0.78,0.7509999999999999
clearweed,0.37,-0.33899999999999997
clearwing,0.32,-0.45799999999999996
cleat,0.89,1.206
cleavability,0.73,0.602
cleavable,0.8,0.8240000000000001
cleavage,1.0,2.438
cleave,0.97,1.874
cleaver,0.98,1.9680000000000002
cleavers,0.97,1.814
cleaving,0.92,1.3630000000000002
cleek,0.13,-1.101
clef,0.87,1.105
cleft,0.98,1.9869999999999999
clematis,0.6,0.247
clemency,0.92,1.3619999999999999
clement,0.87,1.129
clementine,0.98,2.0540000000000003
clemently,0.6,0.259
clench,0.98,2.046
cleome,0.11,-1.197
clepsydra,0.11,-1.202
clerestoried,0.13,-1.123
clerestory,0.23,-0.7190000000000001
clergy,0.99,2.182
clergyman,0.98,1.956
clergywoman,0.94,1.555
cleric,0.94,1.4909999999999999
clerical,0.97,1.8840000000000001
clericalism,0.76,0.713
clericalist,0.61,0.268
clerically,0.94,1.483
clerihew,0.07,-1.422
clerisy,0.19,-0.87
clerk,0.99,2.25
clerking,0.86,1.047
clerkish,0.7,0.516
clerkliness,0.39,-0.28600000000000003
clerkly,0.43,-0.187
clerkship,0.82,0.9079999999999999
cleveite,0.07,-1.429
clever,1.0,2.576
cleverish,0.73,0.608
cleverly,0.98,1.955
cleverness,0.99,2.17
clevis,0.21,-0.797
clew,0.3,-0.521
clianthus,0.21,-0.7859999999999999
cliche,1.0,2.3409999999999997
click,0.99,2.254
clicker,0.99,2.231
client,1.0,2.434
clientage,0.53,0.069
cliental,0.57,0.163
clientele,0.92,1.396
clientless,0.94,1.486
cliff,0.99,2.3169999999999997
cliffhanger,0.99,2.178
cliffy,0.34,-0.396
climacteric,0.3,-0.511
climactic,0.97,1.8119999999999998
climactically,0.91,1.338
climate,1.0,2.448
climatic,0.97,1.757
climatically,0.94,1.5230000000000001
climatologic,0.81,0.8640000000000001
climatological,0.78,0.7659999999999999
climatologically,0.82,0.89
climatologist,0.94,1.541
climatology,0.96,1.7
climax,0.99,2.267
climb,1.0,2.438
climbable,0.9,1.268
climber,1.0,2.33
climbing,0.99,2.326
clime,0.57,0.17600000000000002
clinch,0.98,1.965
clincher,0.95,1.6119999999999999
clindamycin,0.33,-0.442
cline,0.36,-0.363
cling,0.99,2.07
clinger,0.93,1.454
clingfish,0.33,-0.44799999999999995
clinging,1.0,2.334
clingingly,0.83,0.9329999999999999
clingstone,0.32,-0.46399999999999997
clingy,1.0,2.333
clinic,1.0,2.438
clinical,1.0,2.443
clinically,1.0,2.334
clinician,0.93,1.459
clink,0.95,1.645
clinker,0.87,1.128
clinking,0.96,1.669
clinkstone,0.23,-0.7190000000000001
clinometric,0.35,-0.37
clinostat,0.18,-0.919
clinquant,0.14,-1.043
clip,1.0,2.331
clipart,0.93,1.411
clipboard,0.99,2.222
clipped,0.99,2.307
clipper,1.0,2.426
clipping,1.0,2.44
clips,0.99,2.312
clipsheet,0.74,0.626
clique,0.99,2.319
cliquey,0.78,0.764
cliquish,0.8,0.846
cliquishness,0.71,0.54
clit,0.9,1.237
clitella,0.16,-0.9990000000000001
clitoral,0.96,1.72
clitoris,0.99,2.17
cloaca,0.35,-0.37
cloak,0.99,2.235
cloaked,0.99,2.197
cloaking,0.96,1.679
cloakroom,0.93,1.48
clobber,0.97,1.874
cloche,0.5,0.012
clock,0.99,2.3040000000000003
clocked,1.0,2.431
clocker,0.75,0.66
clocklike,0.85,1.0070000000000001
clockmaker,0.97,1.839
clockwise,1.0,2.432
clockwork,0.99,2.322
clod,0.89,1.208
cloddish,0.72,0.585
cloddishly,0.67,0.429
cloddishness,0.73,0.6
cloddy,0.51,0.019
clodhopper,0.76,0.6829999999999999
clodhopping,0.73,0.601
clodpoll,0.12,-1.169
clog,1.0,2.3369999999999997
cloggy,0.67,0.444
cloisonne,0.31,-0.47700000000000004
cloister,0.91,1.2990000000000002
cloistered,0.9,1.287
cloistral,0.54,0.107
clomp,0.74,0.628
clonal,0.51,0.025
clone,1.0,2.576
cloning,0.99,2.13
clonk,0.59,0.228
clonus,0.14,-1.056
clop,0.82,0.905
closable,0.93,1.462
close,1.0,2.436
closed,1.0,2.347
closefisted,0.84,0.986
closely,1.0,2.437
closemouthed,0.91,1.319
closeness,0.99,2.229
closer,0.99,2.238
closet,1.0,2.342
closetful,0.74,0.635
closeup,0.95,1.619
clostridium,0.44,-0.14400000000000002
closure,1.0,2.332
clot,0.99,2.096
cloth,1.0,2.576
clothbound,0.74,0.629
clothe,0.92,1.3659999999999999
clothes,0.99,2.213
clothesbasket,0.85,1.012
clotheshorse,0.74,0.637
clothesline,0.97,1.768
clothespin,0.86,1.06
clothespress,0.8,0.8290000000000001
clothier,0.82,0.92
clothing,1.0,2.576
clotty,0.66,0.402
cloture,0.37,-0.332
cloud,1.0,2.44
cloudberry,0.34,-0.42100000000000004
cloudburst,0.89,1.217
clouded,0.99,2.1919999999999997
cloudily,0.7,0.519
cloudiness,0.98,2.039
clouding,0.95,1.643
cloudland,0.4,-0.251
cloudless,0.98,1.973
cloudlessly,0.82,0.9109999999999999
cloudlessness,0.87,1.119
cloudlet,0.48,-0.039
cloudlike,0.92,1.347
cloudscape,0.84,0.99
cloudy,0.99,2.3280000000000003
clough,0.47,-0.062
clout,0.91,1.327
clouted,0.85,1.002
clove,0.99,2.193
cloven,0.82,0.895
clover,1.0,2.43
cloverleaf,0.92,1.393
clown,1.0,2.434
clownery,0.76,0.691
clownfish,0.98,1.964
clownish,0.97,1.851
clownishly,0.9,1.274
clownishness,0.87,1.111
cloy,0.68,0.46399999999999997
cloying,0.67,0.43799999999999994
cloyingly,0.7,0.512
clozapine,0.47,-0.076
cloze,0.11,-1.203
club,0.99,2.318
clubbable,0.54,0.102
clubbed,0.99,2.157
clubber,0.83,0.951
clubbing,1.0,2.339
clubby,0.65,0.391
clubcard,0.78,0.767
clubfeet,0.84,0.9840000000000001
clubfoot,0.95,1.56
clubfooted,0.97,1.767
clubhouse,0.99,2.237
clubman,0.81,0.853
clubroom,0.88,1.141
clubwoman,0.54,0.10800000000000001
cluck,0.97,1.861
clucky,0.73,0.598
clue,1.0,2.576
clueless,1.0,2.576
clumber,0.33,-0.441
clump,0.99,2.064
clumpish,0.7,0.511
clumpy,0.96,1.651
clumsily,0.99,2.11
clumsiness,0.99,2.125
clumsy,0.99,2.125
clung,0.94,1.507
clunk,0.96,1.673
clunker,0.91,1.308
clunky,0.99,2.0580000000000003
clupeid,0.05,-1.636
cluster,0.99,2.3280000000000003
clustered,0.99,2.144
clustering,0.99,2.102
clustery,0.6,0.258
clutch,1.0,2.438
clutter,1.0,2.443
clypeal,0.04,-1.705
clypeus,0.07,-1.462
coach,1.0,2.335
coachable,0.95,1.632
coachbuilder,0.63,0.332
coacher,0.71,0.561
coaching,1.0,2.42
coachman,0.94,1.5219999999999998
coachwork,0.73,0.604
coactive,0.79,0.7909999999999999
coactively,0.69,0.493
coactivity,0.82,0.92
coadjutant,0.46,-0.102
coadjutor,0.32,-0.461
coadjutress,0.11,-1.196
coadunate,0.14,-1.061
coadunation,0.13,-1.099
coagula,0.54,0.096
coagulant,0.92,1.358
coagulase,0.47,-0.067
coagulate,0.94,1.514
coagulation,0.95,1.591
coagulator,0.88,1.162
coagulum,0.55,0.115
coal,1.0,2.349
coaler,0.44,-0.147
coalesce,0.82,0.9209999999999999
coalescence,0.86,1.0759999999999998
coalescent,0.83,0.953
coalface,0.56,0.14400000000000002
coalfield,0.82,0.8859999999999999
coalfish,0.51,0.021
coalhole,0.42,-0.21100000000000002
coalition,0.97,1.771
coalitional,0.76,0.695
coalitionist,0.89,1.193
coalmine,0.87,1.089
coaly,0.22,-0.757
coarse,0.99,2.248
coarsely,0.99,2.177
coarsen,0.54,0.105
coarseness,0.98,1.913
coast,1.0,2.4330000000000003
coastal,0.99,2.18
coastally,0.83,0.9359999999999999
coaster,1.0,2.4459999999999997
coastguard,0.95,1.646
coasting,0.99,2.3280000000000003
coastland,0.95,1.626
coastline,0.99,2.124
coastward,0.83,0.929
coastwise,0.49,-0.027999999999999997
coat,0.99,2.311
coated,1.0,2.576
coater,0.63,0.336
coathanger,0.89,1.227
coati,0.23,-0.742
coating,1.0,2.441
coatless,0.94,1.541
coatroom,0.92,1.3869999999999998
coattail,0.83,0.953
coauthor,0.93,1.465
coax,0.98,1.8940000000000001
coaxer,0.81,0.871
coaxial,0.9,1.263
coaxially,0.81,0.8740000000000001
coaxing,0.96,1.742
coaxingly,0.86,1.067
cob,0.99,2.116
cobalt,0.98,2.028
cobaltite,0.3,-0.507
cobber,0.55,0.11599999999999999
cobble,0.98,1.8980000000000001
cobbler,0.99,2.064
cobblestone,0.99,2.148
cobbling,0.95,1.587
cobelligerent,0.43,-0.185
cobia,0.13,-1.123
coble,0.41,-0.23399999999999999
cobnut,0.22,-0.76
cobra,0.99,2.314
cobweb,0.98,2.028
cobwebby,0.73,0.618
coca,0.76,0.693
cocaine,1.0,2.335
cocainization,0.25,-0.667
cocainize,0.23,-0.715
coccid,0.27,-0.62
coccidian,0.27,-0.596
coccygeal,0.4,-0.244
coccyges,0.11,-1.181
coccyx,0.78,0.7559999999999999
cochairman,0.75,0.665
cochin,0.29,-0.542
cochineal,0.7,0.525
cochlea,0.82,0.903
cochlear,0.84,0.9670000000000001
cock,0.99,2.102
cockade,0.38,-0.307
cockaded,0.31,-0.48100000000000004
cockalorum,0.14,-1.065
cockamamie,0.77,0.736
cockatiel,0.8,0.826
cockatoo,0.95,1.63
cockatrice,0.52,0.05
cockboat,0.23,-0.735
cockchafer,0.3,-0.516
cockcrow,0.57,0.171
cockcrowing,0.6,0.24100000000000002
cocked,0.98,2.044
cocker,0.82,0.919
cockerel,0.82,0.892
cockeye,0.97,1.855
cockeyed,0.98,2.044
cockfight,0.98,2.002
cockfighting,0.98,1.921
cockhead,0.75,0.667
cockhorse,0.49,-0.034
cockily,0.88,1.153
cockiness,0.99,2.158
cocking,0.89,1.183
cockish,0.79,0.78
cockle,0.85,1.036
cockleboat,0.33,-0.444
cocklebur,0.46,-0.09699999999999999
cockled,0.76,0.706
cockleshell,0.76,0.713
cockling,0.58,0.191
cockloft,0.21,-0.809
cockney,0.91,1.321
cockneydom,0.33,-0.44799999999999995
cockneyish,0.64,0.36700000000000005
cockneyism,0.67,0.43799999999999994
cockpit,1.0,2.576
cockroach,0.99,2.1319999999999997
cockscomb,0.56,0.147
cocksfoot,0.42,-0.2
cockshy,0.62,0.305
cockspur,0.74,0.642
cocksucker,0.91,1.335
cocksure,0.75,0.667
cocksureness,0.72,0.57
cocktail,1.0,2.4330000000000003
cocky,1.0,2.576
coco,0.72,0.5820000000000001
cocoa,0.99,2.1390000000000002
cocoanut,0.32,-0.457
cocobolo,0.09,-1.3030000000000002
coconscious,0.44,-0.161
coconsciously,0.36,-0.35200000000000004
coconsciousness,0.62,0.307
coconspirator,0.9,1.265
coconut,1.0,2.425
cocoon,0.98,1.9709999999999999
cocotte,0.27,-0.61
cod,0.98,2.024
coda,0.74,0.628
coddle,0.91,1.295
coddler,0.83,0.9490000000000001
code,1.0,2.435
codebook,0.92,1.3730000000000002
codec,0.65,0.371
codefendant,0.91,1.307
codeine,0.91,1.3419999999999999
codeless,0.88,1.1340000000000001
codename,0.92,1.3769999999999998
codependency,0.96,1.682
codependent,0.97,1.879
coder,0.89,1.222
codeword,0.95,1.6
codex,0.85,1.002
codfish,0.96,1.689
codger,0.79,0.789
codices,0.58,0.192
codicil,0.52,0.04
codicillary,0.37,-0.337
codification,0.81,0.8590000000000001
codifier,0.78,0.769
codify,0.79,0.785
coding,0.99,2.244
codling,0.64,0.365
codon,0.39,-0.28300000000000003
codpiece,0.82,0.9209999999999999
codswallop,0.68,0.467
coed,0.91,1.304
coeditor,0.93,1.462
coeducation,0.93,1.46
coeducational,0.95,1.621
coeducationally,0.78,0.767
coefficient,0.98,2.0
coelacanth,0.34,-0.41700000000000004
coelentera,0.14,-1.057
coelenterate,0.14,-1.0859999999999999
coeliac,0.53,0.079
coelom,0.13,-1.1320000000000001
coenobium,0.1,-1.256
coenzyme,0.78,0.767
coequal,0.7,0.529
coequality,0.76,0.6940000000000001
coequally,0.61,0.268
coerce,0.96,1.685
coercer,0.86,1.061
coercible,0.91,1.3019999999999998
coercion,0.9,1.2429999999999999
coercionist,0.7,0.528
coercive,0.92,1.382
coercively,0.91,1.3119999999999998
coerciveness,0.92,1.3659999999999999
coessential,0.8,0.8140000000000001
coessentiality,0.51,0.027999999999999997
coetaneous,0.23,-0.74
coeternal,0.48,-0.048
coeternally,0.4,-0.258
coeternity,0.4,-0.24600000000000002
coeval,0.23,-0.715
coevally,0.16,-0.998
coexecutrix,0.37,-0.33299999999999996
coexist,0.98,1.9880000000000002
coexistence,0.98,1.962
coexistent,0.98,1.94
coextend,0.71,0.537
coextension,0.8,0.82
coextensive,0.71,0.552
coextensively,0.71,0.536
cofactor,0.76,0.6940000000000001
coffee,0.99,2.3040000000000003
coffeecake,0.89,1.1840000000000002
coffeehouse,0.95,1.587
coffeemaker,0.97,1.787
coffeepot,0.91,1.288
coffer,0.86,1.058
cofferdam,0.23,-0.735
coffering,0.63,0.32
coffin,0.99,2.319
coffle,0.17,-0.93
cofounder,0.94,1.5319999999999998
cog,0.94,1.518
cogence,0.63,0.335
cogency,0.72,0.5760000000000001
cogent,0.8,0.847
cogently,0.69,0.504
cogged,0.74,0.64
cogging,0.52,0.049
cogitate,0.74,0.6409999999999999
cogitation,0.7,0.517
cogitative,0.73,0.606
cogitatively,0.67,0.426
cogitator,0.63,0.33899999999999997
cognac,0.93,1.4669999999999999
cognate,0.87,1.1179999999999999
cognateness,0.34,-0.406
cognation,0.65,0.376
cognition,0.98,2.032
cognitional,0.72,0.564
cognitive,0.99,2.171
cognitively,0.97,1.798
cognizable,0.64,0.345
cognizably,0.38,-0.307
cognizance,0.74,0.637
cognizant,0.81,0.8490000000000001
cognize,0.58,0.191
cognomen,0.2,-0.8270000000000001
cognominal,0.3,-0.508
cognoscibility,0.3,-0.515
cognoscible,0.23,-0.715
cogon,0.1,-1.253
cogwheel,0.82,0.922
cohabit,0.95,1.5590000000000002
cohabitant,0.97,1.8230000000000002
cohabitate,0.95,1.577
cohabitation,0.96,1.73
coheir,0.54,0.094
coheirship,0.49,-0.021
cohere,0.79,0.782
coherence,0.98,1.962
coherency,0.94,1.5519999999999998
coherent,0.99,2.109
coherently,0.99,2.099
coherer,0.41,-0.21899999999999997
cohesion,0.97,1.795
cohesive,0.99,2.326
cohesively,0.99,2.17
cohesiveness,0.97,1.855
cohobate,0.18,-0.893
cohort,0.96,1.7530000000000001
cohosh,0.22,-0.755
cohune,0.09,-1.2930000000000001
coif,0.72,0.565
coifed,0.72,0.564
coiffeur,0.84,0.986
coiffure,0.74,0.648
coil,0.99,2.255
coiled,0.99,2.17
coiler,0.74,0.629
coiling,0.97,1.79
coin,0.99,2.327
coinable,0.82,0.9109999999999999
coinage,0.95,1.578
coincide,1.0,2.434
coincidence,0.99,2.2640000000000002
coincident,0.9,1.264
coincidental,0.99,2.2430000000000003
coincidentally,1.0,2.443
coincidently,0.93,1.4580000000000002
coiner,0.73,0.591
coinheritance,0.86,1.0659999999999998
coining,0.97,1.8780000000000001
coinstantaneous,0.37,-0.324
coinsurance,0.73,0.62
coinsure,0.52,0.044000000000000004
coir,0.28,-0.5870000000000001
coital,0.89,1.189
coition,0.32,-0.473
coitus,0.91,1.301
coke,0.99,2.182
cokehead,0.88,1.16
coking,0.51,0.025
col,0.22,-0.773
cola,0.99,2.326
colada,0.66,0.40700000000000003
colander,0.9,1.254
colcannon,0.35,-0.38799999999999996
colchicine,0.25,-0.655
colchicum,0.15,-1.012
colcothar,0.07,-1.47
cold,0.99,2.217
coldblooded,0.96,1.74
colder,0.99,2.164
coldhearted,0.99,2.129
coldheartedly,0.98,1.9969999999999999
coldish,0.75,0.652
coldly,0.98,1.932
coldness,0.99,2.1109999999999998
colectomy,0.47,-0.086
coleopteran,0.22,-0.746
coleopteron,0.17,-0.934
coleoptile,0.16,-0.975
coleslaw,0.99,2.258
coleus,0.34,-0.39799999999999996
colewort,0.16,-0.99
coli,0.64,0.355
colic,0.91,1.307
colicky,0.79,0.805
colicroot,0.09,-1.301
coliform,0.51,0.031
coliseum,0.83,0.938
colitis,0.83,0.9359999999999999
coll,0.32,-0.465
collaborate,1.0,2.576
collaboration,1.0,2.33
collaborationism,0.77,0.7140000000000001
collaborationist,0.86,1.067
collaborative,0.98,2.016
collaboratively,0.98,2.026
collaborator,1.0,2.347
collage,0.99,2.258
collagen,0.97,1.755
collagenase,0.35,-0.389
collagenous,0.58,0.21
collapse,1.0,2.445
collapsibility,0.89,1.1840000000000002
collapsible,0.97,1.8659999999999999
collar,0.99,2.175
collarbone,0.98,2.025
collard,0.83,0.9259999999999999
collared,0.98,1.94
collaret,0.26,-0.642
collarless,0.95,1.5730000000000002
collate,0.96,1.652
collateral,0.99,2.09
collaterally,0.93,1.4469999999999998
collation,0.89,1.216
collative,0.73,0.591
collator,0.78,0.747
colleague,0.99,2.173
colleagueship,0.61,0.28600000000000003
collect,1.0,2.437
collectability,0.97,1.795
collectable,0.98,2.0269999999999997
collected,1.0,2.451
collectedly,0.78,0.773
collectedness,0.79,0.782
collectible,0.97,1.879
collection,1.0,2.435
collective,0.99,2.235
collectively,0.99,2.311
collectiveness,0.97,1.8230000000000002
collectivism,0.96,1.696
collectivist,0.89,1.192
collectivistic,0.65,0.373
collectivity,0.95,1.615
collectivization,0.7,0.531
collectivize,0.65,0.375
collector,1.0,2.439
collectorship,0.76,0.685
colleen,0.59,0.217
college,1.0,2.419
collegial,0.84,0.9740000000000001
collegiality,0.7,0.531
collegian,0.77,0.741
collegiate,0.95,1.64
collegiately,0.79,0.792
collembolan,0.04,-1.6640000000000001
collet,0.3,-0.518
collide,0.99,2.263
collider,0.88,1.143
collie,0.91,1.305
collier,0.77,0.716
colliery,0.51,0.031
colligate,0.55,0.127
colligation,0.36,-0.344
collimate,0.17,-0.937
collimation,0.22,-0.76
collimator,0.19,-0.8740000000000001
collinear,0.55,0.136
collinearly,0.25,-0.6609999999999999
collision,0.99,2.188
collisional,0.7,0.524
collocate,0.49,-0.032
collocation,0.55,0.128
collocutor,0.22,-0.754
collogue,0.31,-0.501
colloid,0.7,0.507
colloidal,0.73,0.613
colloquia,0.73,0.617
colloquial,0.94,1.515
colloquialism,0.93,1.436
colloquially,0.94,1.4809999999999999
colloquist,0.76,0.701
colloquium,0.88,1.143
colloquy,0.65,0.37
collotype,0.31,-0.479
collude,0.88,1.147
colluder,0.59,0.237
collusion,0.94,1.505
collusive,0.81,0.857
collusively,0.74,0.621
collusiveness,0.73,0.615
collywobbles,0.48,-0.046
colocynth,0.21,-0.8009999999999999
cologne,1.0,2.43
colon,0.99,2.147
colonel,0.99,2.176
colonelcy,0.18,-0.9159999999999999
colonelship,0.65,0.375
colonial,0.99,2.307
colonialism,0.97,1.847
colonialist,0.96,1.6740000000000002
colonially,0.88,1.17
colonic,0.88,1.168
colonist,0.97,1.8630000000000002
colonization,0.99,2.238
colonize,0.98,1.9680000000000002
colonizer,0.91,1.319
colonnade,0.72,0.581
colonnaded,0.47,-0.076
colonoscopy,0.97,1.78
colony,1.0,2.576
colophon,0.3,-0.53
colophony,0.37,-0.317
color,0.98,1.913
colorable,0.83,0.94
colorant,0.8,0.8290000000000001
coloration,0.93,1.436
coloratura,0.25,-0.662
colorblind,0.98,1.9469999999999998
colorcast,0.68,0.452
colorectal,0.7,0.521
colored,0.99,2.2969999999999997
colorfast,0.79,0.799
colorful,0.99,2.093
colorfully,0.97,1.7690000000000001
colorfulness,0.94,1.4869999999999999
colorific,0.69,0.493
colorimeter,0.38,-0.29600000000000004
colorimetric,0.4,-0.262
colorimetrical,0.31,-0.484
coloring,0.99,2.075
colorist,0.87,1.1059999999999999
coloristic,0.57,0.171
colorization,0.93,1.42
colorize,0.85,1.036
colorless,0.99,2.093
colorlessly,0.83,0.956
colorlessness,0.88,1.171
colors,0.98,2.035
colossal,0.98,1.922
colossally,0.89,1.194
colossi,0.48,-0.048
colossus,0.96,1.744
colostomy,0.9,1.2409999999999999
colostrum,0.66,0.408
colportage,0.16,-0.9990000000000001
colporteur,0.09,-1.331
colposcopy,0.41,-0.22899999999999998
colt,0.99,2.109
colter,0.32,-0.45299999999999996
coltish,0.72,0.5710000000000001
coltishly,0.64,0.344
coltishness,0.67,0.435
coltsfoot,0.39,-0.28800000000000003
colubrine,0.12,-1.139
colugo,0.05,-1.6
columbarium,0.31,-0.478
columbary,0.25,-0.669
columbic,0.38,-0.31
columbine,0.91,1.29
columbium,0.34,-0.402
column,1.0,2.576
columnar,0.63,0.335
columned,0.91,1.324
columniation,0.44,-0.159
columnist,0.99,2.323
colure,0.13,-1.092
colza,0.05,-1.6469999999999998
com,0.59,0.233
coma,1.0,2.576
comate,0.23,-0.722
comatose,0.96,1.692
comatosely,0.64,0.34700000000000003
comatulid,0.07,-1.479
comb,1.0,2.424
combat,1.0,2.576
combatable,0.89,1.207
combatant,0.95,1.6269999999999998
combater,0.61,0.27
combative,0.98,1.983
combatively,0.97,1.756
combativeness,0.95,1.615
combed,0.98,1.89
comber,0.68,0.46799999999999997
combinable,0.86,1.064
combination,1.0,2.432
combinational,0.77,0.728
combinative,0.72,0.581
combinatorial,0.46,-0.092
combinatory,0.65,0.38
combine,1.0,2.447
combined,0.99,2.213
combiner,0.87,1.103
combing,0.97,1.804
combining,1.0,2.333
combo,0.98,2.035
combust,0.98,1.893
combustibility,0.96,1.73
combustible,0.98,1.89
combustion,1.0,2.576
combustive,0.94,1.521
combustor,0.88,1.151
come,0.99,2.187
comeback,0.98,1.912
comedian,0.99,2.319
comedic,0.97,1.8719999999999999
comedienne,0.77,0.722
comedown,0.83,0.9420000000000001
comedy,0.99,2.324
comeliness,0.8,0.8370000000000001
comely,0.88,1.1340000000000001
comer,0.57,0.17300000000000001
comes,0.99,2.254
comestible,0.45,-0.132
comet,0.98,2.033
comeuppance,0.8,0.848
comfit,0.55,0.126
comfiture,0.55,0.131
comfort,1.0,2.576
comfortable,0.99,2.311
comfortableness,0.82,0.9009999999999999
comfortably,1.0,2.333
comforter,0.99,2.185
comforting,1.0,2.576
comfortingly,0.93,1.42
comfortless,0.96,1.69
comfortlessly,0.84,0.9640000000000001
comfortlessness,0.77,0.7390000000000001
comfrey,0.44,-0.14400000000000002
comfy,0.98,1.923
comic,1.0,2.332
comical,1.0,2.334
comicality,0.6,0.259
comically,0.99,2.108
comicalness,0.54,0.106
comics,0.99,2.253
coming,1.0,2.576
comingle,0.66,0.396
comitia,0.1,-1.246
comitial,0.38,-0.304
comity,0.37,-0.32299999999999995
comma,0.99,2.166
command,1.0,2.44
commandant,0.89,1.219
commandeer,0.94,1.5230000000000001
commander,1.0,2.4330000000000003
commandership,0.8,0.848
commanding,1.0,2.576
commandingly,0.93,1.48
commandment,0.99,2.13
commando,0.99,2.075
commeasurable,0.57,0.18
commeasure,0.41,-0.213
commemorate,0.99,2.1630000000000003
commemoration,0.98,1.9340000000000002
commemorative,0.99,2.116
commemoratively,0.95,1.569
commemorator,0.89,1.187
commemoratory,0.82,0.8909999999999999
commence,0.99,2.255
commencement,0.99,2.1069999999999998
commencer,0.83,0.929
commend,0.99,2.322
commendable,0.99,2.092
commendableness,0.64,0.36700000000000005
commendably,0.95,1.58
commendation,0.97,1.788
commendatory,0.8,0.8340000000000001
commensal,0.44,-0.146
commensalism,0.3,-0.531
commensality,0.36,-0.36
commensally,0.27,-0.603
commensurability,0.75,0.6709999999999999
commensurable,0.77,0.733
commensurably,0.78,0.77
