word,AoA,percentage_known,Prevalence,concreteness,valence,arousal,dominance
pistachio,8,0.99,2.14,4.93,6.09,4.68,5.48
suitcase,4,0.99,2.16,4.97,5.25,3.24,5.5
find,2,0.99,2.25,2.63,6.45,3.52,6.24
dough,4,0.99,2.33,4.79,6.0,4.1,5.96
reinforce,8,0.99,2.14,2.32,5.53,3.96,4.94
chiffon,8,0.92,1.4,4.45,6.0,4.68,5.14
ramble,8,0.99,2.33,2.54,4.32,5.0,5.89
missionary,6,1.0,2.43,3.71,5.33,4.24,5.6
nation,4,1.0,2.43,3.62,6.0,4.78,4.74
teamwork,2,1.0,2.34,2.37,6.26,4.64,5.54
laser,14,0.99,2.19,4.5,5.64,5.09,5.52
floss,8,1.0,2.43,4.41,5.0,3.48,5.69
bogus,13,0.99,2.09,2.19,2.84,5.32,3.59
dashboard,8,0.99,2.33,4.61,5.25,3.15,5.32
mitt,2,0.9,1.25,4.76,5.48,2.75,5.0
grader,10,0.95,1.58,3.37,5.26,3.38,5.17
trouble,4,1.0,2.58,2.25,2.87,5.59,4.35
crunch,2,1.0,2.34,3.36,4.79,4.17,5.0
absorb,6,1.0,2.58,3.11,5.5,4.27,5.62
trickery,6,0.99,2.25,1.9,3.53,5.12,4.57
liar,2,1.0,2.34,3.43,2.41,6.6,4.74
cub,2,0.99,2.07,4.67,6.71,3.95,4.24
vile,13,0.99,2.24,2.14,2.21,5.48,3.83
tribunal,13,0.98,1.99,2.7,4.53,3.95,4.74
marine,6,0.99,2.17,4.25,5.95,3.44,5.14
husky,2,1.0,2.58,3.59,5.29,3.71,5.04
waterworks,4,0.99,2.2,4.07,5.4,3.6,4.88
bakery,2,0.99,2.14,4.83,6.79,3.86,5.74
stout,6,0.99,2.2,3.41,5.29,3.35,4.86
chuckle,2,0.99,2.24,3.82,7.1,5.3,5.71
interrupt,6,1.0,2.44,3.0,3.26,4.36,3.93
grits,6,0.97,1.87,4.74,4.9,3.43,4.65
slum,6,0.99,2.2,4.03,2.55,4.2,3.83
pandemonium,12,0.99,2.08,2.24,4.4,6.15,3.77
hulk,12,0.98,2.02,3.39,5.45,4.9,5.64
apex,12,0.96,1.72,3.41,5.52,3.48,5.17
donate,4,0.99,2.08,2.88,6.7,3.25,6.71
autobiography,6,1.0,2.33,3.74,5.79,2.85,6.5
humid,6,0.99,2.18,3.48,3.42,3.36,4.04
postal,4,1.0,2.43,3.07,5.21,3.41,4.83
locomotive,4,1.0,2.43,4.82,5.95,5.5,5.23
pale,6,1.0,2.44,3.79,4.11,3.18,4.18
variation,8,1.0,2.43,2.46,5.53,3.9,5.57
backhand,6,0.99,2.18,3.88,3.5,4.61,4.9
solitude,10,1.0,2.33,2.07,4.76,3.18,6.53
refine,8,0.99,2.33,2.43,5.17,3.6,7.19
kiwi,12,0.99,2.33,4.86,6.11,3.65,5.5
stingy,6,0.98,2.0,2.0,2.53,4.73,4.54
robot,4,1.0,2.34,4.65,6.18,4.43,5.14
lacquer,6,0.95,1.56,4.28,4.95,3.3,5.0
handiwork,6,0.95,1.62,3.11,6.47,3.36,5.95
local,6,0.99,2.25,3.04,6.77,3.8,6.68
surfboard,2,0.99,2.31,4.57,5.53,3.75,4.8
spare,4,0.99,2.32,3.48,5.57,4.45,5.63
suspect,2,1.0,2.34,2.59,2.39,4.57,3.22
emergency,4,0.99,2.18,2.41,2.72,6.43,2.72
dine,2,0.99,2.1,3.37,6.6,4.0,6.05
arise,2,1.0,2.58,3.17,6.17,4.76,5.87
exterior,6,1.0,2.43,4.0,5.55,3.39,5.91
electrocute,6,0.96,1.71,3.82,3.27,6.0,4.42
fantastic,4,0.99,2.19,1.78,8.36,6.4,7.21
vixen,12,0.97,1.8,3.8,4.7,5.09,5.4
briar,6,0.9,1.24,4.44,4.95,4.0,4.58
wreak,13,0.95,1.56,2.83,3.5,5.33,4.54
interfere,2,0.99,2.06,2.59,3.94,4.33,4.71
hussy,12,0.93,1.44,2.54,4.4,6.05,4.27
hex,8,0.97,1.83,2.16,2.47,4.77,4.42
