word,AoA
alarm,2.0
alarming,6.0
alarmist,13.0
alarum,14.0
alas,10.0
alate,14.0
alb,14.0
albacore,14.0
albatross,12.0
albedo,14.0
albeit,14.0
albinism,12.0
albino,10.0
album,2.0
albumen,13.0
albumin,12.0
alburnum,14.0
alcalde,14.0
alcazar,14.0
alchemist,12.0
alchemy,13.0
alcohol,4.0
alcoholic,2.0
alcoholism,4.0
alcove,12.0
aldehyde,12.0
alder,14.0
alderman,10.0
ale,6.0
aleatory,14.0
alee,14.0
alehouse,12.0
alembic,13.0
alert,4.0
alertness,6.0
alewife,14.0
alexia,14.0
alfalfa,6.0
alga,12.0
algae,13.0
algebra,6.0
algebraic,6.0
algorism,14.0
algorithm,13.0
alias,10.0
alibi,6.0
alien,10.0
alienate,14.0
alienation,14.0
alienist,14.0
alight,12.0
align,13.0
alignment,10.0
alike,2.0
aliment,14.0
alimentary,13.0
alimony,8.0
aline,10.0
aliquant,14.0
aliquot,14.0
alive,2.0
alkali,10.0
alkaline,8.0
alkalize,10.0
alkaloid,14.0
all,2.0
Allah,8.0
allay,14.0
allegation,12.0
allege,13.0
allegedly,12.0
allegiance,6.0
allegorical,14.0
allegory,12.0
allegretto,13.0
allegro,12.0
allele,14.0
alleluia,12.0
allergic,6.0
allergy,6.0
alleviate,12.0
alley,2.0
alleyway,8.0
alliance,8.0
allied,10.0
allies,12.0
alligator,2.0
alliteration,10.0
alliterative,13.0
allocate,13.0
allot,12.0
allotment,10.0
allotropic,14.0
allow,2.0
allowable,2.0
allowance,2.0
alloy,10.0
allude,14.0
allure,13.0
allurement,12.0
alluring,10.0
allusion,13.0
alluvial,14.0
alluvium,14.0
ally,12.0
almanac,8.0
Almighty,4.0
almighty,6.0
almond,4.0
almoner,14.0
almost,2.0
alms,14.0
almshouse,13.0
aloes,14.0
aloft,6.0
aloha,6.0
alone,2.0
along,2.0
alongside,2.0
aloof,10.0
aloofness,13.0
aloud,2.0
alp,6.0
alpaca,12.0
alpenstock,14.0
alpha,10.0
alphabet,2.0
alphabetical,2.0
alphabetize,4.0
alpine,4.0
Alpine,6.0
already,4.0
also,4.0
altar,4.0
alter,8.0
alteration,8.0
alterative,14.0
altercation,14.0
alternate,6.0
alternately,8.0
alternation,12.0
alternative,12.0
alternator,12.0
althea,14.0
altho,6.0
althorn,14.0
although,6.0
altimeter,8.0
altitude,6.0
alto,6.0
altogether,10.0
altruism,14.0
altruist,13.0
altruistic,13.0
alum,12.0
alumina,13.0
aluminum,4.0
alumna,10.0
alumnae,13.0
alumni,10.0
alumnus,10.0
alveolus,13.0
always,2.0
alyssum,12.0
am,2.0
AM,12.0
amah,14.0
amain,14.0
amalgam,13.0
amalgamate,10.0
amalgamation,13.0
amanuensis,14.0
amaranth,14.0
amaryllis,10.0
amass,12.0
amateur,6.0
amateurish,10.0
amatory,12.0
amaze,2.0
amazement,2.0
amazing,2.0
amazingly,2.0
amazon,13.0
ambassador,8.0
ambassadress,12.0
amber,8.0
ambergris,14.0
ambidextrous,13.0
ambient,14.0
ambiguity,10.0
ambiguous,12.0
ambit,12.0
ambition,6.0
ambitious,6.0
ambivalent,13.0
amble,10.0
amblyopia,14.0
ambrosia,13.0
ambulance,4.0
ambulant,13.0
ambulatory,13.0
ambuscade,14.0
ambush,4.0
ameba,10.0
ameer,12.0
ameliorate,14.0
amen,4.0
amenable,12.0
amend,8.0
amendment,6.0
amends,10.0
amenity,14.0
amerce,14.0
America,2.0
American,4.0
Americanism,4.0
Americanize,6.0
Americas,6.0
amethyst,13.0
amiability,14.0
amiable,12.0
amicable,13.0
amice,14.0
amid,10.0
