"word","AoA","Prevalence","concreteness","valence","arousal","dominance"
"aggressive","6","2.44","2.54","3.08","5.87","5.49"
"aggressor","10","2.17","3.29","2.8","6.55","4.57"
"agile","12","2.18","2.31","5.95","4.95","6.09"
"agility","10","2.24","2.38","6.55","4.21","6.41"
"aging","6","1.9","2.88","3","3.8","3.06"
"agitate","10","1.92","2.93","3.36","5.82","4.55"
"agitation","10","2.19","2.33","2.84","4.75","3.29"
"aglow","6","1.17","2.29","5.84","4.83","5.59"
"agony","8","2.18","2.38","2.46","5.78","4"
"agree","2","2.58","2.31","7.17","3.62","6.94"
"agreeable","6","2.58","2.07","6.9","3.55","6.97"
"agreement","2","2.58","2.22","6.75","4.05","6.48"
"agricultural","4","2.14","3.29","5.5","3.55","5.74"
"agriculture","4","2.43","3.67","6.1","3.05","6"
"ahoy","2","1.87","2","5.58","3.95","5.45"
"aid","2","2.25","3.1","6.29","4.55","5.95"
"aide","10","1.8","3.59","5.6","4","7.05"
"ailment","6","2.07","2.93","3","3.68","3.14"
"aim","2","2.26","3.27","5.95","4","6.5"
"air","2","2.58","4.11","6.71","3.25","5.72"
"airborne","6","2.42","3.45","5.25","3.52","4.48"
"aircraft","4","2.44","4.4","6.3","4.86","5.71"
"airfield","2","2.04","4.7","5.74","4.38","4.82"
"airline","2","2.43","4","5.36","4.12","4.92"
"airplane","2","2.44","4.96","5.25","5.62","4.12"
"airport","2","2.35","4.87","6","5.5","5.79"
"airship","13","1.82","4.92","5.63","4.88","4.43"
"airstrip","6","2.12","4.68","4.76","3.83","5.1"
"airtight","6","1.89","3.42","5.1","3.3","4.76"
"airway","2","2.58","4.34","4.95","4","3.95"
"aisle","6","2.07","4.35","5.17","2.5","4.87"
"ajar","6","1.74","3.27","5","3.26","5.28"
"alabaster","13","1.4","3.81","5.5","3.95","5.35"
"alarm","2","2.58","4.47","3.86","6.85","6.58"
"alarming","6","2.58","2.07","3.52","6.5","4.05"
"albatross","12","1.68","4.81","5.68","3.09","4.91"
"albino","10","2.24","4.41","4.9","3.09","4.05"
"album","2","2.43","4.69","6.19","5.63","5.86"
"alcohol","4","2.44","4.76","4.11","5.17","4"
"alcoholic","2","2.17","3.37","2.49","5.48","3.27"
"alcoholism","4","2.43","2.93","2","5","3"
"alcove","12","1.53","4.08","5.5","3.32","5.33"
"ale","6","2.02","4.65","5.95","4.1","5.17"
"alert","4","2.33","2.59","5.38","5.14","6.58"
"alfalfa","6","1.28","4.69","4.79","3.67","5.73"
"algebra","6","2.16","3.14","5.4","4.6","4.54"
"algorithm","13","1.45","3.07","5.3","3.7","4.04"
"alias","10","2.1","2.86","5","4.71","5.94"
"alibi","6","1.77","2.57","4.16","4.5","5.17"
"alien","10","2.17","3.52","4.45","4.86","3.56"
"alienate","14","2.12","1.83","2.79","4.27","3.71"
"alienation","14","1.95","1.73","2.53","5.14","3.33"
"alight","12","1.36","2.96","5.67","3.86","5.88"
"align","13","2.18","2.79","5.95","3.32","5.95"
"alignment","10","2.17","3.26","6","3.92","6.32"
"alimony","8","1.61","3.08","3.86","3.09","4.32"
"alive","2","2.32","3.14","6.57","5.93","6.77"
"allegation","12","1.95","1.79","3.26","5.9","3.96"
"allegiance","6","2.44","1.77","5.8","5.17","7.05"
"allergic","6","2.2","2.55","3","5.4","3.81"
"allergy","6","2.44","3.68","2.9","3.9","3.5"
